;asertividad;autoconciencia emocional;autoestima;desarrollar y estimular a los demás;empatía;autocontrol emocional;influencia;liderazgo;optimismo;relación social;colaboración y cooperación;comprensión organizativa;conciencia crítica;desarrollo de las relaciones;tolerancia a la frustración;comunicacion asertiva;manejo de conflictos;motivación de logro;percepción y comprensión emocional;violencia
ansied;0.000;0.150;0.000;0.000;0.000;0.149;0.000;0.000;0.000;0.000;0.000;0.000;0.163;0.000;0.137;0.000;0.152;0.000;0.157;0.000
ansios;0.000;0.000;0.166;0.000;0.195;0.000;0.179;0.000;0.000;0.000;0.141;0.000;0.163;0.000;0.000;0.000;0.152;0.211;0.000;0.000
antagon;0.115;0.000;0.000;0.195;0.195;0.000;0.179;0.000;0.000;0.187;0.141;0.000;0.000;0.000;0.000;0.000;0.152;0.000;0.000;0.262
anti;0.115;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.170;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
anticip;0.000;0.000;0.000;0.195;0.000;0.000;0.179;0.000;0.000;0.000;0.000;0.000;0.163;0.000;0.000;0.000;0.000;0.211;0.000;0.000
apacigu;0.000;0.150;0.000;0.000;0.000;0.149;0.000;0.000;0.155;0.000;0.000;0.170;0.163;0.000;0.000;0.000;0.152;0.000;0.000;0.000
aparej;0.000;0.000;0.000;0.000;0.000;0.149;0.179;0.213;0.000;0.187;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
apasion;0.000;0.150;0.166;0.195;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.163;0.000;0.000;0.000;0.000;0.211;0.000;0.000
apat;0.000;0.000;0.000;0.000;0.195;0.000;0.179;0.000;0.000;0.187;0.141;0.000;0.163;0.177;0.000;0.000;0.000;0.000;0.000;0.000
apen;0.000;0.150;0.166;0.000;0.000;0.149;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.137;0.000;0.000;0.000;0.157;0.000
apeshit;0.115;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.131;0.000;0.000;0.000;0.000
aplac;0.000;0.000;0.000;0.195;0.000;0.149;0.179;0.213;0.155;0.000;0.000;0.000;0.000;0.000;0.137;0.131;0.152;0.000;0.000;0.000
